ID,CDS,Total,Female,Male,NativeAmericanorIndian,Asian,Pacific,Filipino,Hispanic,AfricanAmerican,White,MultipleRace,NoRace,D7,D8,D9,D10,D11,D12,Academic_Year,County,School,City,Zip,State,Latitude,Longitude
72,10621661032507,49,0,49,0,0,0,0,49,0,0,0,0,1,1,2,3,6,36,2010,Fresno,Fresno High,Fresno,93704-6047,CA,36.766028,-119.8042
73,10621741030774,13,0,13,0,0,0,0,13,0,0,0,0,1,1,6,2,1,2,2009,NA,NA,NA,NA,NA,NaN,NaN
74,10621741030774,13,0,13,0,0,0,0,13,0,0,0,0,1,1,8,1,1,1,2008,NA,NA,NA,NA,NA,NaN,NaN
75,10621741030865,107,72,35,0,0,0,0,107,0,0,0,0,3,7,57,11,18,11,2001,Fresno,One Step Up Charter Academy,Fresno,93706,CA,NaN,NaN
76,10622651030378,35,0,35,0,0,0,0,35,0,0,0,0,2,2,6,5,6,14,1994,Fresno,Mountain View (Alternative),Reedley,93654-2426,CA,36.600518,-119.43888
77,10622651030378,41,0,41,0,0,0,0,32,0,9,0,0,3,2,11,6,12,7,2001,Fresno,Mountain View (Alternative),Reedley,93654-2426,CA,36.600518,-119.43888
78,10625396112387,100,41,59,0,0,0,0,85,0,15,0,0,3,3,11,19,20,44,2009,Fresno,West Park Charter Academy,Fresno,93706-9042,CA,36.691385,-119.8535
79,10625396112387,55,55,0,0,0,0,0,55,0,0,0,0,3,5,2,8,15,22,2008,Fresno,West Park Charter Academy,Fresno,93706-9042,CA,36.691385,-119.8535
80,10767781030774,11,0,11,0,0,0,0,11,0,0,0,0,1,3,4,1,1,1,2012,Fresno,W.E.B. DuBois Public Charter,Fresno,93706,CA,36.706625,-119.79989
81,11101161130087,9,0,9,0,0,0,0,9,0,0,0,0,1,1,2,2,1,2,2007,Glenn,Glenn County Juvenile Court,Willows,95988,CA,39.517633,-122.2089
82,13101321330117,24,0,24,0,0,0,0,24,0,0,0,0,1,2,10,8,2,1,2005,Imperial,Imperial County Juvenile Hall/Community,El Centro,92243-9621,CA,32.74636,-115.56438
83,13101321330117,23,0,23,0,0,0,0,23,0,0,0,0,2,2,7,5,3,4,1995,Imperial,Imperial County Juvenile Hall/Community,El Centro,92243-9621,CA,32.74636,-115.56438
84,13101321330117,6,0,6,0,0,0,0,0,0,6,0,0,1,1,1,1,1,1,2009,Imperial,Imperial County Juvenile Hall/Community,El Centro,92243-9621,CA,32.74636,-115.56438
85,13101321330117,130,40,90,0,0,0,0,130,0,0,0,0,7,6,41,42,23,11,2006,Imperial,Imperial County Juvenile Hall/Community,El Centro,92243-9621,CA,32.74636,-115.56438
86,14766870122671,11,11,0,0,0,0,0,0,0,0,0,11,2,2,2,3,1,1,2012,Inyo,Golden State Virtual Academy,Bishop,93514,CA,37.36465,-118.40597
87,15101571530302,270,40,230,0,0,0,0,172,39,59,0,0,11,12,16,22,61,148,2006,Kern,Kern County Juvenile Court,Bakersfield,93301-4533,CA,35.37439,-119.0165
88,15101571530302,78,0,78,0,0,0,0,78,0,0,0,0,1,4,17,17,26,13,1991,Kern,Kern County Juvenile Court,Bakersfield,93301-4533,CA,35.37439,-119.0165
89,15101571530302,26,26,0,0,0,0,0,26,0,0,0,0,1,2,5,2,4,12,2008,Kern,Kern County Juvenile Court,Bakersfield,93301-4533,CA,35.37439,-119.0165
90,15101571530302,405,107,298,0,0,0,0,222,56,127,0,0,16,19,32,31,74,233,2007,Kern,Kern County Juvenile Court,Bakersfield,93301-4533,CA,35.37439,-119.0165
91,15101571530310,808,245,563,0,0,0,0,491,91,226,0,0,10,21,68,69,160,480,2010,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
92,15101571530310,270,132,138,0,0,0,0,217,0,53,0,0,4,12,19,41,65,129,2002,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
93,15101571530310,498,48,450,0,0,0,0,324,0,174,0,0,6,13,43,44,100,292,2011,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
94,15101571530310,161,0,161,0,0,0,0,161,0,0,0,0,1,1,8,12,30,109,2013,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
95,15101571530310,394,30,364,0,0,0,0,226,70,98,0,0,7,9,24,51,92,211,2006,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
96,15101571530310,100,0,100,0,0,0,0,100,0,0,0,0,1,1,8,10,24,56,2016,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
97,15101571530310,568,150,418,0,0,0,0,407,32,129,0,0,7,16,41,56,96,352,2009,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
98,15101571530310,702,212,490,0,0,0,0,458,61,183,0,0,9,17,52,66,136,422,2012,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
99,15101571530310,438,0,438,0,0,0,0,292,0,146,0,0,2,7,31,38,78,282,2008,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
100,15101571530310,32,0,32,0,0,0,0,0,0,32,0,0,2,1,4,3,6,16,2000,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
101,15101571530310,34,0,34,0,0,0,0,0,34,0,0,0,1,1,1,3,4,24,2005,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
102,15101571530310,651,301,350,0,0,0,0,525,39,87,0,0,8,21,71,60,124,367,2007,Kern,Kern County Community,Bakersfield,93301,CA,35.3744,-119.01655
103,15101571530492,26,12,14,0,0,0,0,0,0,26,0,0,4,5,2,3,7,5,2008,Kern,Valley Oaks Charter,Bakersfield,93301-1629,CA,35.391474,-119.0189
104,15101571530492,38,23,15,0,0,0,0,0,0,38,0,0,10,6,7,8,3,4,2010,Kern,Valley Oaks Charter,Bakersfield,93301-1629,CA,35.391474,-119.0189
105,15635291530708,43,43,0,0,0,0,0,43,0,0,0,0,1,1,10,2,4,25,2012,Kern,Bakersfield High,Bakersfield,93301-5173,CA,35.369211,-119.02245
106,15636280127183,15,0,15,0,0,0,0,0,0,15,0,0,4,4,1,1,3,2,2016,Kern,California Virtual Academy @ Maricopa,Simi Valley,93065-1800,CA,34.275868,-118.79798
107,15636286121024,43,28,15,0,0,0,0,0,0,43,0,0,7,5,6,14,6,5,2008,Kern,California Virtual Academy @ Kern,Simi Valley,93065,CA,34.276457,-118.78862
108,15636286121024,18,18,0,0,0,0,0,0,0,18,0,0,2,5,5,4,1,1,2007,Kern,California Virtual Academy @ Kern,Simi Valley,93065,CA,34.276457,-118.78862
109,15636286121024,7,0,7,0,0,0,0,0,0,7,0,0,1,1,1,1,2,1,2009,Kern,California Virtual Academy @ Kern,Simi Valley,93065,CA,34.276457,-118.78862
110,15637680124842,28,13,15,0,0,0,0,0,0,28,0,0,2,4,2,4,4,12,2011,Kern,California Pacific Charter School of Kern,El Segundo,90245,CA,33.903276,-118.38582
111,15637680124842,44,19,25,0,0,0,0,19,0,25,0,0,3,2,4,3,10,22,2012,Kern,California Pacific Charter School of Kern,El Segundo,90245,CA,33.903276,-118.38582
112,16101651630193,15,0,15,0,0,0,0,0,0,15,0,0,1,3,3,2,5,1,2002,Kings,Kings County Community,Hanford,93230-6172,CA,36.311051,-119.64654
113,16101651630193,27,0,27,0,0,0,0,27,0,0,0,0,1,1,3,5,7,10,2008,Kings,Kings County Community,Hanford,93230-6172,CA,36.311051,-119.64654
114,16101651630193,31,8,23,0,0,0,0,31,0,0,0,0,2,2,3,9,9,6,2007,Kings,Kings County Community,Hanford,93230-6172,CA,36.311051,-119.64654
115,16638750112698,49,27,22,0,0,0,0,10,0,39,0,0,8,5,15,6,5,10,2008,Kings,California Virtual Academy at Kings,Simi Valley,93065-1800,CA,34.275868,-118.79798
116,16638750112698,7,7,0,0,0,0,0,0,0,7,0,0,1,1,1,1,2,1,2011,Kings,California Virtual Academy at Kings,Simi Valley,93065-1800,CA,34.275868,-118.79798
117,16638750112698,9,9,0,0,0,0,0,0,0,9,0,0,1,1,1,2,3,1,2009,Kings,California Virtual Academy at Kings,Simi Valley,93065-1800,CA,34.275868,-118.79798
118,16638910120154,8,0,8,0,0,0,0,0,0,8,0,0,1,1,1,2,2,1,2009,Kings,California Pacific Charter School of Central California,Newport Beach,92660,CA,33.659935,-117.86697
119,18642041830132,20,10,10,0,0,0,0,10,0,0,10,0,3,2,2,5,2,6,2004,Lassen,Westwood Charter,Westwood,96137,CA,40.302431,-121.00189
120,18642041830132,12,12,0,0,0,0,0,0,0,12,0,0,2,1,1,3,2,3,2005,Lassen,Westwood Charter,Westwood,96137,CA,40.302431,-121.00189
121,18642041830132,59,40,19,0,0,0,0,40,0,0,19,0,2,4,5,12,8,28,2003,Lassen,Westwood Charter,Westwood,96137,CA,40.302431,-121.00189
122,19101990121871,153,19,134,0,0,0,0,134,19,0,0,0,2,5,24,25,26,71,2010,Los Angeles,Los Padrinos Juvenile Hall,Downey,90242,CA,33.933578,-118.16315
123,19101990121871,35,0,35,0,0,0,0,35,0,0,0,0,1,1,2,8,1,22,2009,Los Angeles,Los Padrinos Juvenile Hall,Downey,90242,CA,33.933578,-118.16315
124,19101990121897,179,0,179,0,0,0,0,124,55,0,0,0,3,6,19,21,34,96,2011,Los Angeles,Central Juvenile Hall,Los Angeles,90033,CA,34.063497,-118.20587
125,19101990121897,141,25,116,0,0,0,0,116,25,0,0,0,2,6,30,19,18,66,2010,Los Angeles,Central Juvenile Hall,Los Angeles,90033,CA,34.063497,-118.20587
126,19101990121897,35,0,35,0,0,0,0,35,0,0,0,0,2,2,6,9,8,8,2012,Los Angeles,Central Juvenile Hall,Los Angeles,90033,CA,34.063497,-118.20587
127,19101991995232,115,33,82,0,0,0,0,90,25,0,0,0,7,10,5,9,6,78,2008,Los Angeles,Los Angeles County Special Education,Downey,90242-2813,CA,33.916978,-118.1286
128,19101991995232,68,24,44,0,0,0,0,68,0,0,0,0,7,7,3,9,7,35,2011,Los Angeles,Los Angeles County Special Education,Downey,90242-2813,CA,33.916978,-118.1286
129,19101991995232,41,17,24,0,0,0,0,41,0,0,0,0,2,7,5,6,6,15,2006,Los Angeles,Los Angeles County Special Education,Downey,90242-2813,CA,33.916978,-118.1286
130,19101991995232,13,0,13,0,0,0,0,13,0,0,0,0,3,2,1,1,2,4,2012,Los Angeles,Los Angeles County Special Education,Downey,90242-2813,CA,33.916978,-118.1286
131,19101991995240,1808,310,1498,0,0,0,0,1165,541,102,0,0,14,42,345,315,305,787,2009,Los Angeles,Los Angeles County Juvenile Hall/Community,Downey,90242-2813,CA,33.916978,-118.1286
132,19101991995240,2474,250,2224,0,0,0,0,1814,660,0,0,0,14,26,599,568,402,865,2008,Los Angeles,Los Angeles County Juvenile Hall/Community,Downey,90242-2813,CA,33.916978,-118.1286
133,19101991995240,1699,150,1549,0,0,0,0,1095,604,0,0,0,14,29,61,128,245,1222,2007,Los Angeles,Los Angeles County Juvenile Hall/Community,Downey,90242-2813,CA,33.916978,-118.1286
134,19101991995240,2190,0,2190,0,0,0,11,1359,653,154,13,0,17,41,82,179,322,1549,2006,Los Angeles,Los Angeles County Juvenile Hall/Community,Downey,90242-2813,CA,33.916978,-118.1286
135,19101991995257,626,263,363,0,0,0,0,602,0,24,0,0,8,30,106,178,147,157,1993,Los Angeles,Alternative Opportunity Programs,Downey,90242-4720,CA,33.91454,-118.1328
136,19101991995257,112,0,112,0,0,0,0,95,0,17,0,0,3,4,3,6,24,72,2005,Los Angeles,Alternative Opportunity Programs,Downey,90242-4720,CA,33.91454,-118.1328
137,19101991995257,56,0,56,0,0,0,0,0,56,0,0,0,1,1,4,9,17,24,1994,Los Angeles,Alternative Opportunity Programs,Downey,90242-4720,CA,33.91454,-118.1328
138,19101991995257,501,168,333,0,0,0,0,501,0,0,0,0,9,38,121,129,134,70,1992,Los Angeles,Alternative Opportunity Programs,Downey,90242-4720,CA,33.91454,-118.1328
139,19101991996164,23,0,23,0,0,0,0,0,23,0,0,0,1,4,7,5,1,5,2005,Los Angeles,Westside Community Day,Lancaster,93536,CA,NaN,NaN
140,19101991996164,41,9,32,0,0,0,0,32,9,0,0,0,3,5,13,10,7,3,2008,Los Angeles,Westside Community Day,Lancaster,93536,CA,NaN,NaN
141,19101991996164,47,0,47,0,0,0,0,28,19,0,0,0,2,4,7,7,9,18,2006,Los Angeles,Westside Community Day,Lancaster,93536,CA,NaN,NaN
142,19101991996164,36,0,36,0,0,0,0,36,0,0,0,0,1,3,7,12,6,7,2007,Los Angeles,Westside Community Day,Lancaster,93536,CA,NaN,NaN
143,19101991996172,16,0,16,0,0,0,0,0,16,0,0,0,1,1,8,2,1,3,2008,Los Angeles,East Los Angeles County Community,Monterey Park,91754-3617,CA,34.048695,-118.16083
144,19101991996172,23,0,23,0,0,0,0,23,0,0,0,0,1,2,6,5,1,8,2010,Los Angeles,East Los Angeles County Community,Monterey Park,91754-3617,CA,34.048695,-118.16083
145,19101991996180,53,0,53,0,0,0,0,53,0,0,0,0,1,3,8,9,8,24,2006,Los Angeles,Eastern Community Day,Whittier,90606,CA,33.995114,-118.0651
146,19101991996180,76,0,76,0,0,0,0,76,0,0,0,0,1,7,26,15,16,11,2008,Los Angeles,Eastern Community Day,Whittier,90606,CA,33.995114,-118.0651
147,19101991996180,48,0,48,0,0,0,0,48,0,0,0,0,3,5,10,8,11,11,2005,Los Angeles,Eastern Community Day,Whittier,90606,CA,33.995114,-118.0651
148,19101991996180,32,0,32,0,0,0,0,32,0,0,0,0,1,3,7,4,6,11,2009,Los Angeles,Eastern Community Day,Whittier,90606,CA,33.995114,-118.0651
149,19101991996206,164,49,115,0,0,0,0,116,39,0,9,0,8,31,37,24,29,35,2005,Los Angeles,Southern Community Day,Long Beach,90802,CA,NaN,NaN
150,19101991996214,35,0,35,0,0,0,0,35,0,0,0,0,1,1,10,8,5,10,2008,Los Angeles,Renaissance County Community,Hawthorne,90250-8526,CA,33.898285,-118.33289
151,19101991996214,25,0,25,0,0,0,0,0,25,0,0,0,2,4,3,4,6,6,2005,Los Angeles,Renaissance County Community,Hawthorne,90250-8526,CA,33.898285,-118.33289
